Associated.Gene.Name	TF_category
ABL1	coTF_GO:0003712
ABT1	coTF_GO:0003712
ACTL6A	coTF_GO:0003712
ACTL6B	coTF_GO:0003712
ACTN1	coTF_GO:0003712
ACTN2	coTF_GO:0003712
ACTN4	coTF_GO:0003712
AEBP2	coTF_GO:0003712
AIM2	coTF_GO:0003712
AIP	coTF_GO:0003712
AJUBA	coTF_GO:0003712
AKIRIN1	coTF_GO:0003712
AKIRIN2	coTF_GO:0003712
ANKRD1	coTF_GO:0003712
APBB1	coTF_GO:0003712
APEX1	coTF_GO:0003712
ARID1A	coTF_GO:0003712
ARID1B	coTF_GO:0003712
ARID3A	coTF_GO:0003712
ARID5A	coTF_GO:0003712
ARID5B	coTF_GO:0003712
ARL2BP	coTF_GO:0003712
ARRB1	coTF_GO:0003712
ASXL1	coTF_GO:0003712
ATF7IP	coTF_GO:0003712
ATF7IP2	coTF_GO:0003712
ATN1	coTF_GO:0003712
Atn1	coTF_GO:0003712
ATXN7L3	coTF_GO:0003712
BASP1	coTF_GO:0003712
Basp1	coTF_GO:0003712
BCL10	coTF_GO:0003712
BCL3	coTF_GO:0003712
BCL9	coTF_GO:0003712
BCL9L	coTF_GO:0003712
BCLAF1	coTF_GO:0003712
BCLAF3	coTF_GO:0003712
BCOR	coTF_GO:0003712
BEND6	coTF_GO:0003712
BIRC2	coTF_GO:0003712
BRCA1	coTF_GO:0003712
BRD4	coTF_GO:0003712
BRD7	coTF_GO:0003712
BRD8	coTF_GO:0003712
BRDT	coTF_GO:0003712
BTAF1	coTF_GO:0003712
BTG1	coTF_GO:0003712
BTG2	coTF_GO:0003712
BUD31	coTF_GO:0003712
C1D	coTF_GO:0003712
C1QBP	coTF_GO:0003712
CALCOCO1	coTF_GO:0003712
CAMTA1	coTF_GO:0003712
CAMTA2	coTF_GO:0003712
CARM1	coTF_GO:0003712
CASP8AP2	coTF_GO:0003712
CBFA2T2	coTF_GO:0003712
CBFA2T3	coTF_GO:0003712
CBFB	coTF_GO:0003712
CBX4	coTF_GO:0003712
CCAR1	coTF_GO:0003712
CCAR2	coTF_GO:0003712
CCDC124	coTF_GO:0003712
CCDC62	coTF_GO:0003712
CCND1	coTF_GO:0003712
CDY1	coTF_GO:0003712
CDY2A	coTF_GO:0003712
CDYL	coTF_GO:0003712
CDYL2	coTF_GO:0003712
CEBPZ	coTF_GO:0003712
CENPJ	coTF_GO:0003712
CIITA	coTF_GO:0003712
CIR1	coTF_GO:0003712
CITED1	coTF_GO:0003712
CITED2	coTF_GO:0003712
CITED4	coTF_GO:0003712
Cmtm2a	coTF_GO:0003712
CNOT2	coTF_GO:0003712
CNOT6	coTF_GO:0003712
CNOT6L	coTF_GO:0003712
CNOT7	coTF_GO:0003712
CNOT9	coTF_GO:0003712
COPS2	coTF_GO:0003712
COPS5	coTF_GO:0003712
CREBBP	coTF_GO:0003712
CREG1	coTF_GO:0003712
CRYM	coTF_GO:0003712
CTBP1	coTF_GO:0003712
CTBP2	coTF_GO:0003712
CTNNB1	coTF_GO:0003712
Cys1	coTF_GO:0003712
DAXX	coTF_GO:0003712
DCAF6	coTF_GO:0003712
DCC	coTF_GO:0003712
DDX1	coTF_GO:0003712
Ddx17	coTF_GO:0003712
DDX17	coTF_GO:0003712
DDX5	coTF_GO:0003712
DDX54	coTF_GO:0003712
DHRS7B	coTF_GO:0003712
DHX9	coTF_GO:0003712
DMAP1	coTF_GO:0003712
DNAJB1	coTF_GO:0003712
DNMT3A	coTF_GO:0003712
DNMT3B	coTF_GO:0003712
DOT1L	coTF_GO:0003712
DPF1	coTF_GO:0003712
