Gene,Cluster
ENSG00000000460,18
ENSG00000001461,5
ENSG00000001617,12
ENSG00000001626,6
ENSG00000001630,8
ENSG00000002587,9
ENSG00000002726,6
ENSG00000003137,18
ENSG00000003400,5
ENSG00000003402,3
ENSG00000004139,11
ENSG00000004660,18
ENSG00000005001,7
ENSG00000005100,20
ENSG00000005187,12
ENSG00000005238,8
ENSG00000005469,10
ENSG00000005486,6
ENSG00000005882,8
ENSG00000006042,14
ENSG00000006062,9
ENSG00000006118,11
ENSG00000006327,3
ENSG00000006459,11
ENSG00000006468,1
ENSG00000006534,12
ENSG00000006611,12
ENSG00000006625,18
ENSG00000006652,11
ENSG00000006788,11
ENSG00000007171,12
ENSG00000007237,14
ENSG00000007255,6
ENSG00000007516,8
ENSG00000007952,11
ENSG00000007968,16
ENSG00000008086,5
ENSG00000008256,10
ENSG00000008294,11
ENSG00000008405,11
ENSG00000010310,5
ENSG00000010318,4
ENSG00000010319,4
ENSG00000010361,6
ENSG00000010610,1
ENSG00000010704,8
ENSG00000010803,20
ENSG00000010818,3
ENSG00000011105,6
ENSG00000011258,12
ENSG00000011260,16
ENSG00000011422,1
ENSG00000011677,19
ENSG00000012232,4
ENSG00000012822,12
ENSG00000013364,5
ENSG00000013392,12
ENSG00000013573,16
ENSG00000013588,3
ENSG00000014138,19
ENSG00000014257,12
ENSG00000015413,11
ENSG00000015520,12
ENSG00000016391,16
ENSG00000017427,6
ENSG00000018408,3
ENSG00000019102,6
ENSG00000019485,11
ENSG00000019505,3
ENSG00000020577,3
ENSG00000021300,6
ENSG00000021762,6
ENSG00000022567,15
ENSG00000023171,4
ENSG00000023445,9
ENSG00000023902,10
ENSG00000024526,14
ENSG00000024862,12
ENSG00000025708,11
ENSG00000026652,12
ENSG00000026751,10
ENSG00000026950,5
ENSG00000028137,1
ENSG00000028310,1
ENSG00000029534,8
ENSG00000030419,5
ENSG00000031691,20
ENSG00000033050,18
ENSG00000035403,1
ENSG00000036672,4
ENSG00000037474,18
ENSG00000037897,16
ENSG00000038210,10
ENSG00000039560,1
ENSG00000044574,8
ENSG00000047346,5
ENSG00000047932,11
ENSG00000048162,1
ENSG00000048471,2
ENSG00000049239,6
ENSG00000049249,11
ENSG00000049283,4
ENSG00000050165,4
ENSG00000050327,7
ENSG00000050438,8
ENSG00000050820,15
ENSG00000051108,12
ENSG00000051180,16
ENSG00000052344,12
ENSG00000052749,20
ENSG00000052802,8
ENSG00000053254,8
ENSG00000053372,16
ENSG00000053918,6
ENSG00000054277,12
ENSG00000054690,12
ENSG00000054967,18
ENSG00000054983,6
ENSG00000055044,16
ENSG00000055483,20
ENSG00000055955,6
ENSG00000056277,20
ENSG00000056736,18
ENSG00000057294,7
ENSG00000057657,9
ENSG00000058085,14
ENSG00000058600,20
ENSG00000059728,13
ENSG00000059804,3
ENSG00000060140,7
ENSG00000060558,12
ENSG00000060566,8
ENSG00000060982,13
ENSG00000061273,3
ENSG00000062282,11
ENSG00000062822,19
ENSG00000063180,6
ENSG00000064270,6
ENSG00000064309,4
ENSG00000064651,4
ENSG00000064666,1
ENSG00000064787,8
ENSG00000065029,12
ENSG00000065183,1
ENSG00000065308,20
ENSG00000065328,16
ENSG00000065361,8
ENSG00000065717,6
ENSG00000065802,7
ENSG00000066027,6
ENSG00000066135,12
