Gene,Cluster
ENSG00000000460,10
ENSG00000001461,7
ENSG00000001497,6
ENSG00000001617,13
ENSG00000001626,16
ENSG00000001630,11
ENSG00000002587,4
ENSG00000002726,15
ENSG00000003137,17
ENSG00000003400,7
ENSG00000003402,9
ENSG00000003989,10
ENSG00000004139,15
ENSG00000004660,17
ENSG00000004838,19
ENSG00000005001,16
ENSG00000005020,13
ENSG00000005187,13
ENSG00000005189,6
ENSG00000005206,13
ENSG00000005238,20
ENSG00000005379,16
ENSG00000005469,5
ENSG00000005483,19
ENSG00000005486,20
ENSG00000005810,17
ENSG00000005882,7
ENSG00000006025,19
ENSG00000006042,6
ENSG00000006062,9
ENSG00000006118,13
ENSG00000006282,13
ENSG00000006327,17
ENSG00000006459,2
ENSG00000006468,17
ENSG00000006534,13
ENSG00000006611,13
ENSG00000006652,2
ENSG00000006695,3
ENSG00000006712,6
ENSG00000006756,15
ENSG00000006788,17
ENSG00000007171,13
ENSG00000007237,5
ENSG00000007255,13
ENSG00000007314,15
ENSG00000007516,7
ENSG00000007944,15
ENSG00000007952,17
ENSG00000007968,14
ENSG00000008086,20
ENSG00000008256,20
ENSG00000008294,2
ENSG00000008323,20
ENSG00000008405,4
ENSG00000008517,15
ENSG00000008710,15
ENSG00000008735,15
ENSG00000008853,13
ENSG00000009954,10
ENSG00000010030,7
ENSG00000010219,8
ENSG00000010292,6
ENSG00000010310,7
ENSG00000010319,7
ENSG00000010322,13
ENSG00000010361,13
ENSG00000010610,15
ENSG00000010704,20
ENSG00000010803,14
ENSG00000010818,3
ENSG00000011105,13
ENSG00000011260,10
ENSG00000011426,6
ENSG00000011590,6
ENSG00000012048,10
ENSG00000012232,19
ENSG00000012779,13
ENSG00000012822,13
ENSG00000013288,13
ENSG00000013364,13
ENSG00000013374,13
ENSG00000013392,20
ENSG00000013563,13
ENSG00000013573,10
ENSG00000013583,2
ENSG00000013588,9
ENSG00000013810,6
ENSG00000014216,7
ENSG00000014257,15
ENSG00000014914,7
ENSG00000015413,15
ENSG00000015520,13
ENSG00000016082,6
ENSG00000016391,17
ENSG00000016402,17
ENSG00000017427,15
ENSG00000018408,9
ENSG00000018699,10
ENSG00000019102,13
ENSG00000019144,11
ENSG00000019485,9
ENSG00000019505,3
ENSG00000019582,20
ENSG00000020181,15
ENSG00000020577,9
ENSG00000020922,6
ENSG00000021300,13
ENSG00000021762,8
ENSG00000022556,15
ENSG00000022567,9
ENSG00000023171,20
ENSG00000023191,17
ENSG00000023445,16
ENSG00000023572,10
ENSG00000023608,15
ENSG00000024526,6
ENSG00000025434,13
ENSG00000025770,10
ENSG00000026025,10
ENSG00000026103,18
ENSG00000026297,13
ENSG00000026508,17
ENSG00000026652,13
ENSG00000026751,11
ENSG00000026950,7
ENSG00000027075,15
ENSG00000027697,15
ENSG00000027869,3
ENSG00000028137,9
ENSG00000029534,5
ENSG00000029639,4
ENSG00000030419,20
ENSG00000030582,13
ENSG00000031691,17
ENSG00000031698,15
ENSG00000032444,13
ENSG00000033030,20
ENSG00000033050,10
ENSG00000033100,20
ENSG00000033170,16
ENSG00000033327,16
ENSG00000033800,20
ENSG00000033867,2
ENSG00000035403,3
ENSG00000035499,6
ENSG00000035664,15
ENSG00000035687,17
ENSG00000035862,15
ENSG00000036672,5
ENSG00000037474,10
ENSG00000037637,19
ENSG00000037897,17
ENSG00000038210,19
ENSG00000039560,17
ENSG00000040275,6
ENSG00000040608,10
ENSG00000041880,13
ENSG00000042286,12
ENSG00000043591,9
ENSG00000044090,13
ENSG00000047346,20
ENSG00000047365,3
ENSG00000047597,3
ENSG00000047634,17
ENSG00000048162,10
ENSG00000048392,11
ENSG00000048471,7
ENSG00000049130,3
ENSG00000049239,13
ENSG00000049249,15
ENSG00000049283,5
ENSG00000049541,10
ENSG00000050165,5
ENSG00000050327,16
ENSG00000050438,7
ENSG00000051108,7
ENSG00000051180,17
ENSG00000051341,6
ENSG00000051523,13
ENSG00000051825,6
ENSG00000052344,13
ENSG00000052749,17
ENSG00000052795,10
ENSG00000052802,11
ENSG00000053254,19
ENSG00000053372,10
ENSG00000053918,13
ENSG00000054179,15
ENSG00000054277,13
ENSG00000054598,5
ENSG00000054793,13
ENSG00000054967,10
ENSG00000054983,15
ENSG00000055044,10
ENSG00000055332,2
ENSG00000055483,3
ENSG00000055955,15
ENSG00000056097,14
ENSG00000056277,14
ENSG00000056736,10
ENSG00000057252,17
ENSG00000057294,13
ENSG00000057657,4
ENSG00000058056,10
ENSG00000058600,17
ENSG00000058668,7
ENSG00000058799,13
ENSG00000058804,6
ENSG00000058866,17
ENSG00000059378,15
ENSG00000059728,19
ENSG00000059804,3
ENSG00000060138,3
ENSG00000060140,9
ENSG00000060339,12
ENSG00000060558,7
ENSG00000060566,11
ENSG00000060749,10
ENSG00000060971,5
ENSG00000060982,13
ENSG00000061273,9
ENSG00000061337,12
ENSG00000063169,20
ENSG00000063176,7
ENSG00000063180,13
ENSG00000063587,17
ENSG00000064270,15
ENSG00000064393,15
ENSG00000064601,13
ENSG00000064651,20
ENSG00000064687,13
ENSG00000064692,16
ENSG00000064787,7
ENSG00000064886,19
ENSG00000065029,7
ENSG00000065054,20
ENSG00000065150,10
ENSG00000065154,7
ENSG00000065183,17
ENSG00000065308,2
ENSG00000065328,10
ENSG00000065357,7
ENSG00000065361,19
ENSG00000065548,10
ENSG00000065618,14
ENSG00000065717,13
ENSG00000065802,9
ENSG00000065809,2
ENSG00000065911,2
ENSG00000065923,16
ENSG00000065978,6
ENSG00000066027,13
ENSG00000066135,20
ENSG00000066248,7
ENSG00000066279,6
ENSG00000066379,4
ENSG00000066468,4
ENSG00000066651,17
ENSG00000066739,20
ENSG00000066855,6
ENSG00000067057,17
ENSG00000067064,5
ENSG00000067066,13
ENSG00000067082,16
ENSG00000067167,15
ENSG00000067191,13
ENSG00000067225,6
ENSG00000067533,10
ENSG00000067798,3
ENSG00000067836,13
ENSG00000067955,3
ENSG00000068024,3
ENSG00000068028,10
ENSG00000068078,20
ENSG00000068079,13
ENSG00000068137,20
ENSG00000068305,2
ENSG00000068438,10
ENSG00000068489,6
ENSG00000068650,2
ENSG00000068697,13
ENSG00000069011,19
ENSG00000069020,13
ENSG00000069275,6
ENSG00000069424,20
ENSG00000069535,6
ENSG00000069702,11
ENSG00000070081,7
ENSG00000070182,13
ENSG00000070423,17
ENSG00000070476,10
ENSG00000070495,6
ENSG00000070526,15
ENSG00000070540,7
ENSG00000070718,17
ENSG00000070731,15
ENSG00000070759,19
ENSG00000070761,17
ENSG00000070785,6
ENSG00000070814,10
ENSG00000070882,17
ENSG00000070950,17
ENSG00000070961,3
ENSG00000071073,15
ENSG00000071242,13
ENSG00000071282,15
ENSG00000071462,10
ENSG00000071537,11
ENSG00000071539,10
ENSG00000071553,20
ENSG00000071575,2
ENSG00000071909,17
ENSG00000072195,13
ENSG00000072201,9
ENSG00000072274,10
ENSG00000072422,13
ENSG00000072501,10
ENSG00000072571,6
ENSG00000072818,7
ENSG00000072864,6
ENSG00000072954,17
ENSG00000073008,9
ENSG00000073067,13
ENSG00000073111,10
ENSG00000073331,7
ENSG00000073464,17
ENSG00000073536,17
ENSG00000073605,13
ENSG00000073711,19
ENSG00000073756,13
ENSG00000073849,2
ENSG00000073910,13
ENSG00000074047,17
ENSG00000074181,20
ENSG00000074219,13
ENSG00000074370,13
ENSG00000074527,16
ENSG00000074582,10
ENSG00000074621,13
ENSG00000074660,15
ENSG00000074696,10
ENSG00000074855,13
ENSG00000074935,13
ENSG00000074964,7
ENSG00000075043,9
ENSG00000075131,10
ENSG00000075151,2
ENSG00000075218,6
ENSG00000075223,13
ENSG00000075234,6
ENSG00000075303,8
ENSG00000075399,13
ENSG00000075407,18
ENSG00000075413,13
ENSG00000075618,11
ENSG00000075643,2
ENSG00000075702,10
ENSG00000075711,15
ENSG00000075826,7
ENSG00000075914,17
ENSG00000075945,17
ENSG00000076003,17
ENSG00000076043,3
ENSG00000076067,9
ENSG00000076248,14
ENSG00000076258,11
ENSG00000076351,2
ENSG00000076382,6
ENSG00000076513,13
ENSG00000076555,8
ENSG00000076716,3
ENSG00000077044,2
ENSG00000077152,10
ENSG00000077312,6
ENSG00000077348,10
ENSG00000077458,8
ENSG00000077514,17
ENSG00000077585,13
ENSG00000078018,15
ENSG00000078070,20
ENSG00000078081,15
ENSG00000078401,9
ENSG00000078804,20
ENSG00000078900,13
ENSG00000079112,13
ENSG00000079134,10
ENSG00000079150,12
ENSG00000079215,11
ENSG00000079308,7
ENSG00000079337,16
ENSG00000079385,2
ENSG00000079459,11
ENSG00000079616,6
ENSG00000079739,7
ENSG00000080031,13
ENSG00000080298,7
ENSG00000080345,17
ENSG00000080493,17
ENSG00000080546,19
ENSG00000080573,2
ENSG00000080608,17
ENSG00000080839,10
ENSG00000080986,6
ENSG00000081041,15
ENSG00000081181,5
ENSG00000081377,13
ENSG00000081479,3
ENSG00000081721,17
ENSG00000081803,15
ENSG00000081870,17
ENSG00000082014,20
ENSG00000082153,6
ENSG00000082269,9
ENSG00000082438,20
ENSG00000082458,9
ENSG00000082497,17
ENSG00000082516,17
ENSG00000082641,2
ENSG00000083168,12
ENSG00000083444,5
ENSG00000083457,6
ENSG00000083635,17
ENSG00000083799,7
ENSG00000083857,17
ENSG00000084070,6
ENSG00000084636,9
ENSG00000084710,8
ENSG00000084731,7
ENSG00000085117,13
ENSG00000085231,4
ENSG00000085274,17
ENSG00000085415,17
ENSG00000085465,7
ENSG00000085552,11
ENSG00000085644,5
ENSG00000085662,6
ENSG00000085721,17
ENSG00000085760,10
ENSG00000085831,13
ENSG00000085840,10
ENSG00000085871,1
ENSG00000085999,10
ENSG00000086015,17
ENSG00000086102,10
ENSG00000086189,10
ENSG00000086200,10
ENSG00000086589,6
ENSG00000086619,11
ENSG00000086696,3
ENSG00000086712,17
ENSG00000086730,1
ENSG00000087008,9
ENSG00000087074,16
ENSG00000087076,15
ENSG00000087095,13
ENSG00000087157,19
ENSG00000087269,10
ENSG00000087586,6
ENSG00000087842,5
ENSG00000088002,11
ENSG00000088053,20
ENSG00000088205,10
ENSG00000088280,7
ENSG00000088325,6
ENSG00000088538,20
ENSG00000088543,7
ENSG00000088727,10
ENSG00000088826,2
ENSG00000088970,18
ENSG00000089006,10
ENSG00000089009,6
ENSG00000089048,17
ENSG00000089060,13
ENSG00000089127,15
ENSG00000089195,10
ENSG00000089225,6
ENSG00000089356,13
ENSG00000089472,15
ENSG00000089682,19
ENSG00000089685,6
ENSG00000089723,9
ENSG00000089820,15
ENSG00000090238,20
ENSG00000090273,10
ENSG00000090339,2
ENSG00000090382,13
ENSG00000090447,17
ENSG00000090554,13
ENSG00000090776,6
ENSG00000090889,6
ENSG00000091073,20
ENSG00000091127,17
ENSG00000091129,9
ENSG00000091136,2
ENSG00000091262,13
ENSG00000091409,2
ENSG00000091436,17
ENSG00000091482,15
ENSG00000091622,8
ENSG00000091651,10
ENSG00000091879,17
ENSG00000091986,15
ENSG00000092010,13
ENSG00000092068,7
ENSG00000092140,6
ENSG00000092208,6
ENSG00000092295,20
ENSG00000092439,20
ENSG00000092470,14
ENSG00000092529,15
ENSG00000092531,13
ENSG00000092758,11
ENSG00000092841,6
ENSG00000092853,10
ENSG00000092964,3
ENSG00000093009,10
ENSG00000094804,10
ENSG00000094841,7
ENSG00000095015,9
ENSG00000095203,2
ENSG00000095370,11
ENSG00000095539,7
ENSG00000095585,15
ENSG00000095637,13
ENSG00000095739,13
ENSG00000095752,17
ENSG00000095787,2
ENSG00000095932,13
ENSG00000095951,9
ENSG00000096060,10
ENSG00000096063,17
ENSG00000096080,17
ENSG00000096088,15
ENSG00000096746,6
ENSG00000097046,10
ENSG00000099194,20
ENSG00000099250,3
ENSG00000099251,11
ENSG00000099282,13
ENSG00000099284,5
ENSG00000099290,11
ENSG00000099308,7
ENSG00000099330,13
ENSG00000099338,13
ENSG00000099365,7
ENSG00000099377,13
ENSG00000099617,15
ENSG00000099625,16
ENSG00000099785,13
ENSG00000099810,17
ENSG00000099834,13
ENSG00000099840,7
ENSG00000099860,17
ENSG00000099875,20
ENSG00000099901,6
ENSG00000099910,13
ENSG00000099953,13
ENSG00000099991,15
ENSG00000099994,4
ENSG00000099999,13
ENSG00000100027,13
ENSG00000100029,10
ENSG00000100031,13
ENSG00000100075,7
ENSG00000100100,13
ENSG00000100116,10
ENSG00000100138,10
ENSG00000100139,15
ENSG00000100154,5
ENSG00000100162,10
ENSG00000100196,13
ENSG00000100219,16
ENSG00000100241,16
ENSG00000100246,13
ENSG00000100284,20
ENSG00000100292,20
ENSG00000100294,10
ENSG00000100296,3
ENSG00000100297,10
ENSG00000100298,13
ENSG00000100299,13
ENSG00000100304,10
ENSG00000100307,7
ENSG00000100321,13
ENSG00000100330,20
ENSG00000100342,13
ENSG00000100346,7
ENSG00000100353,17
ENSG00000100379,13
ENSG00000100401,6
ENSG00000100410,10
ENSG00000100417,20
ENSG00000100418,14
ENSG00000100429,13
ENSG00000100439,19
ENSG00000100462,6
ENSG00000100479,10
ENSG00000100504,13
ENSG00000100522,10
ENSG00000100526,6
ENSG00000100528,17
ENSG00000100575,17
ENSG00000100583,5
ENSG00000100596,13
ENSG00000100612,13
ENSG00000100625,19
ENSG00000100629,10
ENSG00000100664,17
ENSG00000100726,10
ENSG00000100749,10
ENSG00000100767,13
ENSG00000100784,8
ENSG00000100796,10
ENSG00000100802,19
ENSG00000100814,2
ENSG00000100867,7
ENSG00000100906,1
