Gene,Cluster
ENSG00000000003,10
ENSG00000000457,2
ENSG00000000460,15
ENSG00000001084,2
ENSG00000001167,8
ENSG00000001460,4
ENSG00000001461,18
ENSG00000001561,3
ENSG00000001617,8
ENSG00000001626,8
ENSG00000001630,18
ENSG00000002586,10
ENSG00000002587,6
ENSG00000002726,10
ENSG00000002834,20
ENSG00000002919,11
ENSG00000003137,7
ENSG00000003147,8
ENSG00000003249,19
ENSG00000003400,18
ENSG00000003989,2
ENSG00000004139,6
ENSG00000004455,15
ENSG00000004478,7
ENSG00000004660,19
ENSG00000004777,12
ENSG00000004838,18
ENSG00000005001,4
ENSG00000005020,20
ENSG00000005075,9
ENSG00000005100,15
ENSG00000005187,8
ENSG00000005189,5
ENSG00000005194,15
ENSG00000005206,4
ENSG00000005339,2
ENSG00000005379,9
ENSG00000005436,16
ENSG00000005448,3
ENSG00000005700,10
ENSG00000005801,7
ENSG00000005810,11
ENSG00000005812,2
ENSG00000005882,18
ENSG00000005893,4
ENSG00000006025,18
ENSG00000006042,10
ENSG00000006062,1
ENSG00000006118,6
ENSG00000006282,8
ENSG00000006327,19
ENSG00000006451,1
ENSG00000006459,6
ENSG00000006468,15
ENSG00000006534,8
ENSG00000006611,10
ENSG00000006625,16
ENSG00000006652,15
ENSG00000006695,11
ENSG00000006744,11
ENSG00000006747,12
ENSG00000006756,10
ENSG00000006788,16
ENSG00000006837,18
ENSG00000007047,20
ENSG00000007080,11
ENSG00000007171,4
ENSG00000007237,17
ENSG00000007255,10
ENSG00000007314,7
ENSG00000007376,7
ENSG00000007392,19
ENSG00000007516,18
ENSG00000007545,3
ENSG00000007923,7
ENSG00000007944,16
ENSG00000007952,19
ENSG00000007968,16
ENSG00000008083,2
ENSG00000008086,18
ENSG00000008256,18
ENSG00000008283,16
ENSG00000008294,10
ENSG00000008300,8
ENSG00000008323,4
ENSG00000008382,10
ENSG00000008405,11
ENSG00000008710,6
ENSG00000008735,8
ENSG00000008853,8
ENSG00000008869,18
ENSG00000009950,10
ENSG00000009954,16
ENSG00000010072,14
ENSG00000010165,7
ENSG00000010219,2
ENSG00000010278,10
ENSG00000010310,18
ENSG00000010318,12
ENSG00000010319,9
ENSG00000010361,18
ENSG00000010438,15
ENSG00000010539,6
ENSG00000010610,16
ENSG00000010704,12
ENSG00000010818,19
ENSG00000011007,7
ENSG00000011021,3
ENSG00000011052,19
ENSG00000011105,10
ENSG00000011143,12
ENSG00000011198,7
ENSG00000011258,18
ENSG00000011260,7
ENSG00000011332,11
ENSG00000011347,6
ENSG00000011422,6
ENSG00000011523,4
ENSG00000011566,3
ENSG00000011590,16
ENSG00000011638,18
ENSG00000011677,11
ENSG00000012048,13
ENSG00000012124,4
ENSG00000012211,1
ENSG00000012232,2
ENSG00000012822,4
ENSG00000012963,16
ENSG00000013275,11
ENSG00000013293,15
ENSG00000013364,4
ENSG00000013392,4
ENSG00000013441,2
ENSG00000013503,11
ENSG00000013573,16
ENSG00000013583,6
ENSG00000014123,2
ENSG00000014138,16
ENSG00000014257,3
ENSG00000014914,18
ENSG00000015133,19
ENSG00000015153,16
ENSG00000015475,7
ENSG00000015520,8
ENSG00000016082,11
ENSG00000016391,16
ENSG00000017427,6
ENSG00000018408,6
ENSG00000018510,15
ENSG00000018699,11
ENSG00000019102,6
ENSG00000019144,1
ENSG00000019485,1
ENSG00000019505,19
ENSG00000019995,2
ENSG00000020129,11
ENSG00000020181,6
ENSG00000020577,10
ENSG00000020922,3
ENSG00000021300,10
ENSG00000021762,8
ENSG00000021826,4
ENSG00000022567,1
ENSG00000022840,20
ENSG00000022976,18
ENSG00000023171,13
ENSG00000023287,3
ENSG00000023445,19
ENSG00000023572,15
ENSG00000023608,13
ENSG00000024048,18
ENSG00000024422,1
ENSG00000024526,9
ENSG00000024862,3
ENSG00000025434,8
ENSG00000025708,6
ENSG00000025772,15
ENSG00000025796,6
ENSG00000026103,5
ENSG00000026297,10
ENSG00000026652,8
ENSG00000026751,8
ENSG00000026950,18
ENSG00000027075,8
ENSG00000027869,7
ENSG00000028137,19
ENSG00000028277,9
ENSG00000028310,7
ENSG00000029153,19
ENSG00000029534,12
ENSG00000030110,7
ENSG00000030419,3
ENSG00000030582,10
ENSG00000031691,5
ENSG00000031698,6
ENSG00000032219,3
ENSG00000032444,8
ENSG00000033030,4
ENSG00000033050,15
ENSG00000033178,1
ENSG00000033327,8
ENSG00000033627,20
ENSG00000033800,4
ENSG00000033867,16
ENSG00000034152,17
ENSG00000034533,16
ENSG00000034713,18
ENSG00000035141,7
ENSG00000035403,19
ENSG00000035664,10
ENSG00000035862,10
ENSG00000036054,3
ENSG00000037241,11
ENSG00000037474,15
ENSG00000037637,14
ENSG00000037757,10
ENSG00000037897,15
ENSG00000038002,2
ENSG00000038210,4
ENSG00000038219,3
ENSG00000038274,2
ENSG00000038382,11
ENSG00000039523,1
ENSG00000039560,7
ENSG00000040199,6
ENSG00000040487,13
ENSG00000040531,4
ENSG00000040608,6
ENSG00000040633,8
ENSG00000041353,2
ENSG00000041802,15
ENSG00000041988,12
ENSG00000042286,11
ENSG00000042317,3
ENSG00000042429,16
ENSG00000043591,6
ENSG00000044090,8
ENSG00000046647,10
ENSG00000046651,12
ENSG00000047056,18
ENSG00000047249,12
ENSG00000047346,2
ENSG00000047578,8
ENSG00000047597,7
ENSG00000047932,6
ENSG00000048162,7
ENSG00000048392,18
ENSG00000048471,20
ENSG00000048991,11
ENSG00000049130,16
ENSG00000049167,9
ENSG00000049239,4
ENSG00000049249,15
ENSG00000049283,20
ENSG00000049449,16
ENSG00000049541,16
ENSG00000049656,15
ENSG00000049769,18
ENSG00000049860,10
ENSG00000050165,12
ENSG00000050344,6
ENSG00000050426,12
ENSG00000050438,18
ENSG00000050820,17
ENSG00000051108,8
ENSG00000051180,16
ENSG00000051341,16
ENSG00000051523,6
ENSG00000052126,2
ENSG00000052344,4
ENSG00000052749,15
ENSG00000052795,16
ENSG00000052802,18
ENSG00000053254,3
ENSG00000053371,10
ENSG00000053372,15
ENSG00000053918,10
ENSG00000054179,10
ENSG00000054277,4
ENSG00000054282,18
ENSG00000054598,2
