Gene,Cluster
ENSG00000000003,13
ENSG00000000460,8
ENSG00000001084,10
ENSG00000001167,2
ENSG00000001461,17
ENSG00000001497,8
ENSG00000001561,17
ENSG00000001617,13
ENSG00000001626,13
ENSG00000001630,1
ENSG00000001631,1
ENSG00000002586,13
ENSG00000002587,14
ENSG00000002726,20
ENSG00000002834,2
ENSG00000002919,18
ENSG00000003249,5
ENSG00000003400,2
ENSG00000003989,19
ENSG00000004139,20
ENSG00000004455,8
ENSG00000004478,11
ENSG00000004660,5
ENSG00000004777,7
ENSG00000004779,8
ENSG00000004838,13
ENSG00000004866,8
ENSG00000005001,13
ENSG00000005020,2
ENSG00000005022,9
ENSG00000005075,9
ENSG00000005100,11
ENSG00000005175,8
ENSG00000005187,15
ENSG00000005189,9
ENSG00000005194,11
ENSG00000005206,13
ENSG00000005238,15
ENSG00000005339,10
ENSG00000005379,2
ENSG00000005436,8
ENSG00000005448,3
ENSG00000005483,6
ENSG00000005700,15
ENSG00000005801,16
ENSG00000005810,8
ENSG00000005812,10
ENSG00000005882,17
ENSG00000005893,15
ENSG00000006025,17
ENSG00000006042,20
ENSG00000006062,14
ENSG00000006118,20
ENSG00000006282,13
ENSG00000006327,5
ENSG00000006453,11
ENSG00000006459,15
ENSG00000006468,8
ENSG00000006530,8
ENSG00000006534,13
ENSG00000006606,8
ENSG00000006611,13
ENSG00000006625,11
ENSG00000006634,9
ENSG00000006652,19
ENSG00000006695,8
ENSG00000006704,3
ENSG00000006712,9
ENSG00000006715,2
ENSG00000006744,8
ENSG00000006756,13
ENSG00000006757,4
ENSG00000006788,11
ENSG00000006837,1
ENSG00000007080,8
ENSG00000007171,15
ENSG00000007237,4
ENSG00000007255,13
ENSG00000007314,16
ENSG00000007376,11
ENSG00000007392,16
ENSG00000007516,13
ENSG00000007545,3
ENSG00000007923,11
ENSG00000007944,16
ENSG00000007952,11
ENSG00000007968,8
ENSG00000008086,15
ENSG00000008256,15
ENSG00000008283,16
ENSG00000008300,15
ENSG00000008323,15
ENSG00000008324,18
ENSG00000008382,20
ENSG00000008394,9
ENSG00000008405,8
ENSG00000008517,20
ENSG00000008710,12
ENSG00000008735,20
ENSG00000008869,17
ENSG00000009950,20
ENSG00000009954,8
ENSG00000010030,20
ENSG00000010165,11
ENSG00000010219,8
ENSG00000010278,13
ENSG00000010292,9
ENSG00000010310,2
ENSG00000010318,3
ENSG00000010319,5
ENSG00000010322,13
ENSG00000010361,17
ENSG00000010438,8
ENSG00000010539,14
ENSG00000010610,15
ENSG00000010626,13
ENSG00000010704,17
ENSG00000010803,16
ENSG00000010818,8
ENSG00000011007,11
ENSG00000011021,17
ENSG00000011052,11
ENSG00000011105,20
ENSG00000011143,3
ENSG00000011258,17
ENSG00000011260,11
ENSG00000011332,8
ENSG00000011376,8
ENSG00000011422,15
ENSG00000011426,9
ENSG00000011485,8
ENSG00000011523,17
ENSG00000011566,3
ENSG00000011590,16
ENSG00000011677,8
ENSG00000012048,9
ENSG00000012124,10
ENSG00000012171,20
ENSG00000012174,7
ENSG00000012211,4
ENSG00000012232,10
ENSG00000012779,13
ENSG00000012822,17
ENSG00000013275,8
ENSG00000013288,13
ENSG00000013293,16
ENSG00000013364,15
ENSG00000013374,15
ENSG00000013392,15
ENSG00000013441,10
ENSG00000013503,8
ENSG00000013523,8
ENSG00000013563,13
ENSG00000013573,8
ENSG00000013583,20
ENSG00000013588,13
ENSG00000013810,9
ENSG00000014123,3
ENSG00000014138,8
ENSG00000014216,20
ENSG00000014257,15
ENSG00000014914,15
ENSG00000015133,5
ENSG00000015153,19
ENSG00000015413,20
ENSG00000015475,5
ENSG00000015520,17
ENSG00000016082,8
ENSG00000016391,16
ENSG00000016402,11
ENSG00000017427,20
ENSG00000018699,8
ENSG00000019102,13
ENSG00000019144,2
ENSG00000019485,4
ENSG00000019505,5
ENSG00000019995,10
ENSG00000020129,11
ENSG00000020181,20
ENSG00000020256,7
ENSG00000020426,18
ENSG00000020577,13
ENSG00000020922,7
ENSG00000021300,13
ENSG00000021762,2
ENSG00000021826,2
ENSG00000022556,13
ENSG00000022567,4
ENSG00000022976,17
ENSG00000023171,20
ENSG00000023191,11
ENSG00000023287,3
ENSG00000023318,20
ENSG00000023445,15
ENSG00000023572,8
ENSG00000023608,6
ENSG00000024048,17
ENSG00000024422,4
ENSG00000024526,9
ENSG00000024862,6
ENSG00000025434,2
ENSG00000025708,20
ENSG00000025770,8
ENSG00000025796,12
ENSG00000026025,10
ENSG00000026103,19
ENSG00000026297,20
ENSG00000026652,13
ENSG00000026751,13
ENSG00000026950,15
ENSG00000027697,20
ENSG00000027869,11
ENSG00000028137,5
ENSG00000028310,11
ENSG00000029534,7
ENSG00000029639,8
ENSG00000030066,9
ENSG00000030110,12
ENSG00000030419,17
ENSG00000030582,13
ENSG00000031691,19
ENSG00000031698,12
ENSG00000031823,8
ENSG00000032219,6
ENSG00000032389,8
ENSG00000032444,13
ENSG00000033030,7
ENSG00000033050,8
ENSG00000033100,20
ENSG00000033178,4
ENSG00000033327,15
ENSG00000033627,2
ENSG00000033800,15
ENSG00000033867,16
ENSG00000034152,5
ENSG00000034533,19
ENSG00000034713,2
ENSG00000035141,11
ENSG00000035499,9
ENSG00000035664,20
ENSG00000035862,13
ENSG00000035928,19
ENSG00000036054,17
ENSG00000036672,8
ENSG00000037241,8
ENSG00000037474,11
ENSG00000037637,8
ENSG00000037757,12
ENSG00000037897,11
ENSG00000038002,3
ENSG00000038210,6
ENSG00000038219,6
ENSG00000038274,10
ENSG00000039123,8
ENSG00000039139,14
ENSG00000039560,11
ENSG00000040275,9
ENSG00000040487,16
ENSG00000040531,20
ENSG00000040608,16
ENSG00000040633,2
ENSG00000041353,6
ENSG00000041802,11
ENSG00000041880,13
ENSG00000042317,17
ENSG00000043514,8
ENSG00000043591,14
ENSG00000044090,13
ENSG00000044574,20
ENSG00000046651,3
ENSG00000047249,3
ENSG00000047346,3
ENSG00000047365,14
ENSG00000047597,11
ENSG00000047634,11
ENSG00000048162,11
ENSG00000048392,7
ENSG00000048471,2
ENSG00000048544,11
ENSG00000048991,8
ENSG00000049130,16
ENSG00000049167,8
ENSG00000049239,15
ENSG00000049249,16
ENSG00000049283,1
ENSG00000049449,16
ENSG00000049541,8
ENSG00000049860,13
ENSG00000050165,7
ENSG00000050426,3
ENSG00000050438,15
ENSG00000050820,5
ENSG00000051128,20
ENSG00000051180,8
ENSG00000051341,9
ENSG00000051523,20
ENSG00000051825,9
ENSG00000052126,3
ENSG00000052344,15
ENSG00000052749,8
ENSG00000052795,11
ENSG00000052802,2
ENSG00000053254,3
ENSG00000053372,11
ENSG00000053501,8
ENSG00000053918,13
ENSG00000054179,20
ENSG00000054267,6
ENSG00000054277,15
ENSG00000054392,16
ENSG00000054598,19
ENSG00000054654,17
ENSG00000054793,15
ENSG00000054967,11
ENSG00000054983,13
ENSG00000055044,8
ENSG00000055147,1
ENSG00000055208,3
ENSG00000055332,20
ENSG00000055483,11
ENSG00000055955,13
ENSG00000056097,19
ENSG00000056277,19
ENSG00000056736,8
ENSG00000057252,8
ENSG00000057657,9
