Gene,Cluster
ENSG00000000003,9
ENSG00000000460,8
ENSG00000001084,13
ENSG00000001167,20
ENSG00000001461,10
ENSG00000001617,9
ENSG00000001626,12
ENSG00000001630,10
ENSG00000002586,12
ENSG00000002587,2
ENSG00000002726,9
ENSG00000003137,13
ENSG00000003249,7
ENSG00000003989,4
ENSG00000004139,9
ENSG00000004455,8
ENSG00000004478,11
ENSG00000004660,6
ENSG00000004700,12
ENSG00000004777,5
ENSG00000004838,16
ENSG00000005001,17
ENSG00000005189,4
ENSG00000005238,15
ENSG00000005339,13
ENSG00000005379,1
ENSG00000005436,8
ENSG00000005469,6
ENSG00000005700,5
ENSG00000005810,4
ENSG00000005812,13
ENSG00000005882,17
ENSG00000006042,19
ENSG00000006451,12
ENSG00000006459,5
ENSG00000006468,3
ENSG00000006534,12
ENSG00000006611,9
ENSG00000006625,8
ENSG00000006634,8
ENSG00000006652,19
ENSG00000006695,8
ENSG00000006704,2
ENSG00000006756,12
ENSG00000006788,9
ENSG00000007171,5
ENSG00000007237,11
ENSG00000007255,12
ENSG00000007314,8
ENSG00000007376,11
ENSG00000007516,19
ENSG00000007545,3
ENSG00000007952,12
ENSG00000008083,3
ENSG00000008256,9
ENSG00000008300,3
ENSG00000008324,18
ENSG00000008710,19
ENSG00000009780,5
ENSG00000010030,16
ENSG00000010219,5
ENSG00000010278,12
ENSG00000010318,3
ENSG00000010319,6
ENSG00000010361,10
ENSG00000010818,2
ENSG00000011258,17
ENSG00000011260,8
ENSG00000011332,11
ENSG00000011347,19
ENSG00000011422,2
ENSG00000011426,1
ENSG00000011523,17
ENSG00000011677,11
ENSG00000012124,9
ENSG00000012211,7
ENSG00000012822,17
ENSG00000012963,8
ENSG00000013364,12
ENSG00000013392,10
ENSG00000013441,16
ENSG00000013503,11
ENSG00000013583,9
ENSG00000013588,17
ENSG00000013810,11
ENSG00000014138,6
ENSG00000014257,17
ENSG00000014914,10
ENSG00000015413,19
ENSG00000016082,6
ENSG00000016391,8
ENSG00000018408,2
ENSG00000019102,19
ENSG00000019144,20
ENSG00000019505,9
ENSG00000020129,11
ENSG00000020181,9
ENSG00000020577,10
ENSG00000021762,12
ENSG00000022976,17
ENSG00000023171,19
ENSG00000023191,11
ENSG00000023287,2
ENSG00000023445,2
ENSG00000023572,11
ENSG00000024048,17
ENSG00000024862,17
ENSG00000025434,10
ENSG00000025708,9
ENSG00000025796,8
ENSG00000026025,5
ENSG00000026950,12
ENSG00000027847,7
ENSG00000027869,18
ENSG00000028137,18
ENSG00000029993,1
ENSG00000030419,10
ENSG00000030582,12
ENSG00000031691,16
ENSG00000031698,9
ENSG00000032219,2
ENSG00000033050,11
ENSG00000033327,10
ENSG00000033627,20
ENSG00000033800,17
ENSG00000033867,8
ENSG00000034533,18
ENSG00000034677,2
ENSG00000034713,12
ENSG00000035141,11
ENSG00000035499,4
ENSG00000035664,12
ENSG00000035862,12
ENSG00000037241,11
ENSG00000037474,11
ENSG00000037637,18
ENSG00000037897,8
ENSG00000038210,5
ENSG00000038219,2
ENSG00000038274,13
ENSG00000038382,4
ENSG00000039560,6
ENSG00000040199,4
ENSG00000040608,15
ENSG00000040633,10
ENSG00000041353,13
ENSG00000041802,11
ENSG00000043143,3
ENSG00000043591,4
ENSG00000044459,8
ENSG00000044574,7
ENSG00000047249,3
ENSG00000047346,2
ENSG00000047597,8
ENSG00000048162,6
ENSG00000048991,11
ENSG00000049130,8
ENSG00000049239,12
ENSG00000049246,8
ENSG00000049249,8
ENSG00000049283,18
ENSG00000049449,8
ENSG00000049759,2
ENSG00000049769,15
ENSG00000050165,7
ENSG00000050438,10
ENSG00000051108,12
ENSG00000051180,19
ENSG00000051341,8
ENSG00000052126,2
ENSG00000052749,11
ENSG00000052802,10
ENSG00000053254,17
ENSG00000053371,9
ENSG00000053372,8
ENSG00000053524,14
ENSG00000054179,18
ENSG00000054267,2
ENSG00000054277,12
ENSG00000054598,16
ENSG00000054654,2
ENSG00000054793,10
ENSG00000054967,11
ENSG00000054983,12
ENSG00000055044,8
ENSG00000055332,9
ENSG00000056097,19
ENSG00000056736,8
ENSG00000057657,16
ENSG00000058262,11
ENSG00000058453,17
ENSG00000058600,11
ENSG00000058668,10
ENSG00000058804,11
ENSG00000059378,9
ENSG00000059573,6
ENSG00000059728,2
ENSG00000059769,6
ENSG00000060140,2
ENSG00000060237,1
ENSG00000060339,1
ENSG00000060558,10
ENSG00000060566,9
ENSG00000060642,10
ENSG00000060688,6
ENSG00000060982,15
ENSG00000061337,11
ENSG00000062822,4
ENSG00000063854,10
ENSG00000064270,4
ENSG00000064309,1
ENSG00000064601,10
ENSG00000064651,2
ENSG00000064652,19
ENSG00000064692,9
ENSG00000064763,19
ENSG00000064787,9
ENSG00000064886,4
ENSG00000064933,18
ENSG00000065029,12
ENSG00000065057,6
ENSG00000065060,9
ENSG00000065183,6
ENSG00000065328,8
ENSG00000065361,2
ENSG00000065548,8
ENSG00000065717,9
ENSG00000065809,5
ENSG00000065883,1
ENSG00000065911,19
ENSG00000066135,17
ENSG00000066279,13
ENSG00000066379,18
ENSG00000066427,17
ENSG00000066468,13
ENSG00000066557,19
ENSG00000066583,6
ENSG00000066651,19
ENSG00000066739,3
ENSG00000067057,6
ENSG00000067064,15
ENSG00000067066,12
ENSG00000067082,16
ENSG00000067191,10
ENSG00000067334,6
ENSG00000067365,2
ENSG00000067533,11
ENSG00000067560,9
ENSG00000067836,20
ENSG00000067992,3
ENSG00000068028,19
ENSG00000068078,12
ENSG00000068079,9
ENSG00000068137,9
ENSG00000068308,17
ENSG00000068323,19
ENSG00000068354,3
ENSG00000068654,11
ENSG00000068971,20
ENSG00000069011,6
ENSG00000069020,16
ENSG00000069329,5
ENSG00000069399,17
ENSG00000069535,1
ENSG00000069702,17
ENSG00000069812,3
ENSG00000069869,9
ENSG00000069956,11
ENSG00000070182,12
ENSG00000070404,7
ENSG00000070444,13
ENSG00000070495,7
ENSG00000070526,12
ENSG00000070540,17
ENSG00000070669,9
ENSG00000070718,19
ENSG00000070731,9
ENSG00000070759,17
ENSG00000070785,11
ENSG00000070961,4
ENSG00000071073,9
ENSG00000071242,12
ENSG00000071243,4
ENSG00000071282,12
ENSG00000071462,11
ENSG00000071537,3
ENSG00000071539,8
ENSG00000072042,11
ENSG00000072121,3
ENSG00000072135,20
ENSG00000072201,2
ENSG00000072571,2
ENSG00000072954,6
ENSG00000073008,18
ENSG00000073060,11
ENSG00000073111,4
ENSG00000073331,12
ENSG00000073464,3
ENSG00000073605,12
ENSG00000073756,8
ENSG00000074071,11
ENSG00000074181,12
ENSG00000074319,17
ENSG00000074370,12
ENSG00000074416,9
ENSG00000074527,17
ENSG00000074582,11
ENSG00000074621,10
ENSG00000074660,10
ENSG00000074695,11
ENSG00000074696,19
ENSG00000074800,11
ENSG00000074935,9
ENSG00000074964,12
ENSG00000075043,13
ENSG00000075131,6
ENSG00000075151,6
ENSG00000075218,1
ENSG00000075223,9
ENSG00000075234,8
ENSG00000075240,10
ENSG00000075303,5
ENSG00000075336,6
ENSG00000075399,10
ENSG00000075407,11
ENSG00000075413,19
ENSG00000075426,2
ENSG00000075618,11
ENSG00000075643,19
ENSG00000075702,11
ENSG00000076003,8
ENSG00000076067,17
ENSG00000076258,20
ENSG00000076351,9
ENSG00000076382,1
ENSG00000076513,17
ENSG00000076716,16
ENSG00000076864,20
ENSG00000076928,17
ENSG00000076984,13
ENSG00000077044,12
ENSG00000077092,2
ENSG00000077150,15
ENSG00000077152,8
ENSG00000077232,8
ENSG00000077458,5
ENSG00000077514,8
ENSG00000077585,17
ENSG00000078018,9
ENSG00000078081,19
ENSG00000078142,17
ENSG00000078237,6
ENSG00000078246,17
ENSG00000078401,16
ENSG00000078487,15
ENSG00000078668,6
ENSG00000078804,15
ENSG00000078814,17
ENSG00000079150,19
ENSG00000079215,18
ENSG00000079246,11
ENSG00000079308,10
ENSG00000079335,2
ENSG00000079337,12
ENSG00000079385,12
ENSG00000079459,15
ENSG00000079462,11
ENSG00000079616,17
ENSG00000079739,10
ENSG00000079950,10
ENSG00000080031,17
ENSG00000080189,2
ENSG00000080298,10
ENSG00000080493,8
ENSG00000080503,15
ENSG00000080573,18
ENSG00000080608,8
ENSG00000080823,1
ENSG00000080824,11
ENSG00000080839,4
ENSG00000080986,16
ENSG00000081019,2
ENSG00000081181,1
ENSG00000081320,16
ENSG00000081377,17
ENSG00000081721,4
ENSG00000081913,3
ENSG00000082014,6
ENSG00000082438,4
ENSG00000082497,8
ENSG00000082516,11
ENSG00000082641,13
ENSG00000082996,17
ENSG00000083097,3
ENSG00000083457,6
ENSG00000083635,6
ENSG00000083799,17
ENSG00000083838,2
ENSG00000083857,13
ENSG00000084070,7
ENSG00000084636,10
ENSG00000084693,12
ENSG00000084731,3
ENSG00000084764,10
ENSG00000085063,17
ENSG00000085231,6
ENSG00000085276,11
ENSG00000085415,8
ENSG00000085465,18
ENSG00000085552,20
ENSG00000085644,15
ENSG00000085721,8
ENSG00000085760,11
ENSG00000085840,11
ENSG00000085871,20
ENSG00000085999,4
ENSG00000086061,7
ENSG00000086189,11
ENSG00000086544,2
ENSG00000086548,12
ENSG00000086619,10
ENSG00000086696,17
ENSG00000086730,9
ENSG00000086758,13
ENSG00000087074,16
ENSG00000087263,6
ENSG00000087269,11
ENSG00000087301,16
ENSG00000088002,18
ENSG00000088053,12
ENSG00000088205,11
ENSG00000088280,12
ENSG00000088305,7
ENSG00000088325,11
ENSG00000088340,9
ENSG00000088356,8
ENSG00000088387,10
ENSG00000088826,5
ENSG00000088854,10
ENSG00000088899,20
ENSG00000088970,12
ENSG00000088986,18
ENSG00000089048,8
ENSG00000089057,17
ENSG00000089091,10
ENSG00000089127,12
ENSG00000089177,17
ENSG00000089195,6
ENSG00000089220,20
ENSG00000089225,17
ENSG00000089356,12
ENSG00000089472,9
ENSG00000089505,20
ENSG00000089682,2
ENSG00000089685,11
ENSG00000089723,3
ENSG00000089737,11
ENSG00000089820,12
ENSG00000089876,17
ENSG00000090020,6
ENSG00000090097,8
ENSG00000090238,17
ENSG00000090273,11
ENSG00000090520,11
ENSG00000090615,1
ENSG00000090857,13
ENSG00000090861,9
ENSG00000091127,8
ENSG00000091129,9
ENSG00000091136,8
ENSG00000091409,17
ENSG00000091513,13
ENSG00000091527,11
ENSG00000091592,5
ENSG00000091622,12
ENSG00000091651,8
ENSG00000091879,5
ENSG00000091986,10
ENSG00000092010,9
ENSG00000092068,10
ENSG00000092208,19
ENSG00000092295,20
ENSG00000092439,12
ENSG00000092470,8
ENSG00000092841,1
ENSG00000092853,11
ENSG00000092931,17
ENSG00000092964,17
ENSG00000093009,4
ENSG00000093217,6
ENSG00000094631,12
ENSG00000094755,1
ENSG00000094804,8
ENSG00000095002,4
ENSG00000095015,16
ENSG00000095203,18
ENSG00000095209,8
ENSG00000095319,11
ENSG00000095383,7
ENSG00000095539,10
ENSG00000095574,16
ENSG00000095637,12
ENSG00000095739,18
ENSG00000095752,11
ENSG00000095787,2
ENSG00000095932,12
ENSG00000095951,13
ENSG00000096060,8
ENSG00000096088,13
ENSG00000096092,6
ENSG00000096696,3
ENSG00000096717,13
ENSG00000097046,8
ENSG00000097096,19
ENSG00000099250,13
