"Cluster_ID" "Drug" "Cluster" "Onset" "Direction" "Peak" "Trend" "Diff_than_DMSO" "Full_name"
"OXO_1" "OXO" 1 2 "Down" 8 "Transitory" 1 "Onset_2h_Down_Peak_8h_Transitory"
"OXO_2" "OXO" 2 4 "Up" 8 "Transitory" 1 "Onset_4h_Up_Peak_8h_Transitory"
"OXO_3" "OXO" 3 1 "Down" 4 "Transitory" 1 "Onset_1h_Down_Peak_4h_Transitory"
"OXO_4" "OXO" 4 1 "Up" 8 "Reversed" 1 "Onset_1h_Up_Peak_8h_Reversed"
"OXO_5" "OXO" 5 1 "Up" 8 "Reduced" 1 "Onset_1h_Up_Peak_8h_Reduced"
"OXO_6" "OXO" 6 2 "Up" 24 "Continuous" 0 "Onset_2h_Up_Peak_24h_Continuous"
"OXO_7" "OXO" 7 1 "Down" 4 "Reversed" 1 "Onset_1h_Down_Peak_4h_Reversed"
"OXO_8" "OXO" 8 2 "Up" 8 "Transitory" 1 "Onset_2h_Up_Peak_8h_Transitory"
"OXO_9" "OXO" 9 0 "Down" 4 "Transitory" 1 "Onset_0h_Down_Peak_4h_Transitory"
"OXO_10" "OXO" 10 1 "Up" 4 "Transitory" 1 "Onset_1h_Up_Peak_4h_Transitory"
"OXO_11" "OXO" 11 2 "Down" 4 "Reversed" 0 "Onset_2h_Down_Peak_4h_Reversed"
"OXO_12" "OXO" 12 1 "Up" 8 "Stable" 0 "Onset_1h_Up_Peak_8h_Stable"
"OXO_13" "OXO" 13 1 "Up" 4 "Stable" 1 "Onset_1h_Up_Peak_4h_Stable"
"OXO_14" "OXO" 14 4 "Down" 24 "Continuous" 0 "Onset_4h_Down_Peak_24h_Continuous"
"OXO_15" "OXO" 15 1 "Down" 4 "Reduced" 1 "Onset_1h_Down_Peak_4h_Reduced"
"OXO_16" "OXO" 16 2 "Down" 8 "Reduced" 1 "Onset_2h_Down_Peak_8h_Reduced"
"OXO_17" "OXO" 17 0 "Up" 2 "Double peak" 1 "Onset_0h_Up_Peak_2h_Double peak"
