"gene_name","logFC_5Z_1h","logFC_PI_1h","logFC_PD_1h","logFC_PIPD_1h","logFC_PI5Z_1h","logFC_5Z_2h","logFC_PI_2h","logFC_PD_2h","logFC_PIPD_2h","logFC_PI5Z_2h","logFC_5Z_4h","logFC_PI_4h","logFC_PD_4h","logFC_PIPD_4h","logFC_PI5Z_4h","logFC_5Z_8h","logFC_PI_8h","logFC_PD_8h","logFC_PIPD_8h","logFC_PI5Z_8h","logFC_5Z_24h","logFC_PI_24h","logFC_PD_24h","logFC_PIPD_24h","logFC_PI5Z_24h","adj.P.Val_5Z_1h","adj.P.Val_PI_1h","adj.P.Val_PD_1h","adj.P.Val_PIPD_1h","adj.P.Val_PI5Z_1h","adj.P.Val_5Z_2h","adj.P.Val_PI_2h","adj.P.Val_PD_2h","adj.P.Val_PIPD_2h","adj.P.Val_PI5Z_2h","adj.P.Val_5Z_4h","adj.P.Val_PI_4h","adj.P.Val_PD_4h","adj.P.Val_PIPD_4h","adj.P.Val_PI5Z_4h","adj.P.Val_5Z_8h","adj.P.Val_PI_8h","adj.P.Val_PD_8h","adj.P.Val_PIPD_8h","adj.P.Val_PI5Z_8h","adj.P.Val_5Z_24h","adj.P.Val_PI_24h","adj.P.Val_PD_24h","adj.P.Val_PIPD_24h","adj.P.Val_PI5Z_24h"
"DUSP6",-1.18897254176022,NA,-2.91127572490197,-2.52530198594664,NA,-4.62002876069724,1.27240565469177,-5.1737754152718,-4.4987142340024,-4.08280466024579,-5.45977020172308,1.08317885427198,-6.02897000114121,-4.15640689688433,-5.13687674931853,-3.65294113467035,NA,-5.3373293669831,-4.51089897124495,-4.15452951876953,NA,NA,-5.25754575666508,-5.323744803096,-1.668302274863,0.00682184441061445,NA,4.68126428124228e-06,2.30342528151491e-08,NA,9.39665016689224e-09,1.0280777028748e-06,6.47772771380143e-08,5.05080979182498e-09,5.74681080261869e-08,1.13080790309081e-11,2.5302743530841e-06,3.49581392813201e-11,3.63118542097024e-12,1.1070772458243e-10,3.40908477604974e-12,NA,2.66348578612815e-10,2.7605578596893e-14,3.35990946673008e-13,NA,NA,3.93589875466693e-23,1.55316835231348e-21,2.45696905303999e-12
"EGR1",-1.9905759510626,1.82384651473346,-2.85110733984096,-2.54342779058852,NA,-2.98241214321205,1.75684232027019,-3.13628017005458,-2.81905130294478,-2.67772541283327,-3.652034736165,NA,-4.09186871459426,-3.163588377547,-4.29678880183704,-4.12242365768075,NA,-4.05978660815533,-2.95665176344188,-3.90855243993036,NA,-1.41617213307866,-4.30303631574981,-4.67697393774347,-2.77947302600377,0.0300694635693196,4.7951119180153e-06,0.0205574405186191,0.000455874371748389,NA,0.00539748400296992,2.81768125555458e-05,0.00416795002273989,0.00141361964252853,0.00551775179591645,7.95986680518026e-06,NA,4.91958883234355e-06,1.06317963469065e-05,2.22013235168459e-05,7.60945329903712e-07,NA,3.58923941807788e-06,7.80584592166522e-08,1.78419267326999e-07,NA,4.08278425879969e-07,1.8831336776041e-17,4.3090024513517e-16,8.12027200913261e-13
"PRDM1",NA,1.43911761321366,-1.0706459644124,NA,1.19132487410136,-1.01752926038565,2.39781446733137,-1.2851508654221,1.12222402701314,1.20872764118483,NA,1.31356027496396,NA,1.06557892623652,NA,NA,NA,NA,NA,NA,NA,NA,-2.14373349015464,-2.24806038211683,-1.45655014360324,NA,1.39317819927067e-12,0.00127872292876605,NA,4.51034683478373e-09,0.000438605265216635,9.19525471266093e-22,1.36999491571663e-05,2.48662220637398e-08,7.44261598805105e-09,NA,8.65667321725836e-11,NA,1.89708713098189e-08,NA,NA,NA,NA,NA,NA,NA,NA,7.09060661439767e-18,3.15919674217297e-17,2.57618795769594e-11
"ZNF296",NA,-1.08149629173126,NA,NA,-1.09411911350646,NA,NA,NA,-1.02167342638649,NA,NA,NA,NA,-1.01651628731871,-1.04979636899203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47065761278865e-08,NA,NA,7.10987011209974e-09,NA,NA,NA,9.51430857942724e-11,NA,NA,NA,NA,5.16035945683884e-11,1.11903348973474e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNRC1",NA,1.49582885105204,NA,1.60717365329802,1.56756723720412,NA,2.67573631544934,NA,2.64023757069885,2.61636866125306,1.00615880027471,2.29589293550459,NA,2.37613020420503,2.38736516512111,1.06668806034208,1.05911531972419,NA,1.40436850042023,1.37633145938621,NA,NA,NA,1.04477367977231,NA,NA,2.2162059705414e-08,NA,4.18498705549404e-09,7.10987011209974e-09,NA,3.24490700247806e-20,NA,6.17789014639104e-20,2.42838898875703e-19,6.40288871939489e-06,5.43163138232973e-18,NA,3.68403587979722e-19,4.39746518940741e-19,1.97514560846774e-08,3.86737249926883e-08,NA,4.98087708972177e-13,1.64394879596638e-12,NA,NA,NA,6.30855437115553e-09,NA
"PIM1",NA,1.64341296457374,NA,NA,1.39428059622007,-1.4143612270054,3.43060658023743,-1.20225374049951,1.14213530196724,1.55614453868337,-2.11169290870454,3.71985679018362,-2.04797667796302,1.28678180789654,NA,-1.56145632155994,2.41548670872974,-2.20881276619373,NA,NA,NA,1.33825640214718,-2.10308727571554,-1.00840444435893,NA,NA,2.13288277890075e-07,NA,NA,1.12192299699313e-05,0.00271612404794193,1.67844215315755e-19,0.0124553605543041,0.000217818261253222,6.88792014263451e-07,3.5897421105865e-06,1.76344365492005e-20,3.48493724318437e-06,9.86363691969566e-06,NA,5.58743508712006e-06,3.56075267735365e-14,2.09314930989739e-07,NA,NA,NA,1.15072758772001e-07,2.82158604599341e-11,7.20872836583095e-05,NA
"EDN1",NA,1.04933656173036,-1.1126365543293,NA,NA,-1.23320251385762,1.12740038469448,NA,NA,NA,-1.83765998090054,NA,-1.0992916513118,NA,-1.05579703281285,-1.45276286190477,NA,-1.64166452033169,NA,-1.22308273707509,NA,NA,NA,NA,NA,NA,7.17875101984978e-07,0.000551351440826656,NA,NA,2.91623895801015e-06,2.01188424642622e-08,NA,NA,NA,7.10268463172916e-12,NA,6.03645655500627e-07,NA,2.03570035299463e-06,2.95450506705351e-10,NA,1.01615405292166e-10,NA,3.48627292216633e-09,NA,NA,NA,NA,NA
"NR4A2",NA,1.64799009877349,NA,NA,1.39877008222445,NA,2.66997991406134,NA,1.97532939153168,2.13568770381198,NA,2.16298766608509,NA,1.41505951810107,1.32155050086254,NA,1.00807506928569,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2162059705414e-08,NA,NA,3.31327171612475e-06,NA,1.08340246826264e-17,NA,5.63715976356902e-12,8.87040681193848e-13,NA,5.63199878377641e-13,NA,2.21856158028923e-07,2.14991195682644e-06,NA,0.000155008762600813,NA,NA,NA,NA,NA,NA,NA,NA
"KLF6",NA,1.11454014892436,NA,NA,NA,-2.33489678880144,1.39573800632349,-1.34337528609499,NA,-1.29318073916673,-2.38788655799253,1.23499279571691,-1.14709845906704,NA,NA,-1.13240254062764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67511107799436e-05,NA,NA,NA,3.40642646187998e-14,5.79087400725216e-09,2.16982762941995e-07,NA,2.85852346213446e-07,1.55122810449144e-16,2.60855525438168e-08,6.93498944179377e-07,NA,NA,3.18576113604929e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCNG2",NA,1.6431725609942,NA,1.61265513449155,1.73732099327002,NA,2.97583954513843,NA,2.96964586686333,2.93594950265598,1.65643620332777,3.21741901178952,1.12271898765411,3.3285108062132,3.55925078639688,1.453047334016,1.58795269659615,1.08417229577961,2.16322232836874,2.30087602059685,NA,1.16742549633117,NA,1.43599977461492,NA,NA,3.87904631397633e-05,NA,3.21747680533323e-05,8.77195716627313e-06,NA,4.17089560381863e-15,NA,2.83572903855637e-15,9.54190236249966e-15,9.33681874852264e-07,1.10289787731556e-16,0.00102303395058468,1.07571517350908e-17,7.65321679128623e-19,1.23821143466749e-07,1.8626306079467e-08,7.03793641726126e-05,8.9853250259741e-14,1.25607193277023e-14,NA,1.29041877530696e-05,NA,4.71317550836702e-08,NA
"SERTAD3",NA,-1.08820991963888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000114168863094456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCL6",NA,1.32485844353152,NA,NA,1.09121879725016,NA,2.34575676027495,NA,1.8485274333235,1.93133830558267,NA,1.5050230224547,NA,1.59223488038884,1.78523308071999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000153448416199197,NA,NA,0.00423273496237947,NA,1.80030699213282e-13,NA,1.25729866889255e-09,9.2152379986211e-10,NA,3.95949177439638e-08,NA,3.08428330591384e-09,1.3456868178235e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDF15",NA,1.04961045399929,NA,NA,NA,-1.02177180235641,1.6631072200402,NA,NA,NA,NA,1.47271213906323,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03973335053329,-1.38814777255252,-1.7036895557165,-1.24979061991431,NA,0.000499672074830289,NA,NA,NA,0.000829731029033059,4.13055507835177e-10,NA,NA,NA,NA,2.28271527147436e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78507061655134e-06,2.13918930226112e-09,2.92055768100284e-12,5.07435514202585e-08
