"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"AACSP1","PI5Z_4h","PI5Z","4h",1.36651053960837,0.0097216470608458
"AARS1","PI5Z_24h","PI5Z","24h",-1.10007996597601,1.08003860953559e-05
"ABCA13","PI5Z_24h","PI5Z","24h",1.17279525820301,0.000431307229437065
"ABCA2","PI5Z_24h","PI5Z","24h",1.1951817287917,6.57552256051165e-12
"ABCA5","PI5Z_8h","PI5Z","8h",1.04074445788256,8.78553548505621e-07
"ABCE1","PI5Z_8h","PI5Z","8h",-1.32333961550004,2.37467382189769e-17
"ABCF2-H2BE1","PI5Z_8h","PI5Z","8h",-1.12124226410629,9.47181196263404e-13
"ABHD1","PI5Z_8h","PI5Z","8h",1.15536794355096,0.0262173537067408
"ABHD11","PI5Z_24h","PI5Z","24h",1.00753262685188,1.18514317141596e-14
"ABO","PI5Z_8h","PI5Z","8h",1.14089252746544,1.15837076003822e-13
"ACACB","PI5Z_4h","PI5Z","4h",1.16530768044843,1.469627536823e-10
"ACACB","PI5Z_8h","PI5Z","8h",1.12719297400969,4.71185775786214e-11
"ACBD4","PI5Z_4h","PI5Z","4h",1.04930722150968,1.5302193114447e-07
"ACCS","PI5Z_8h","PI5Z","8h",1.03376474024255,2.92150648113248e-08
"ACP3","PI5Z_4h","PI5Z","4h",1.01686534812172,0.000254236027172248
"ACP3","PI5Z_8h","PI5Z","8h",1.28203954834987,2.36690562529814e-07
"ACSS2","PI5Z_24h","PI5Z","24h",1.10585960130923,4.29125073495102e-08
"ACTA2","PI5Z_8h","PI5Z","8h",1.25776441761906,1.74372748503375e-08
"ACTB","PI5Z_8h","PI5Z","8h",-1.07381102208232,4.06667360325923e-13
"ADAMTSL2","PI5Z_24h","PI5Z","24h",-1.30436429123655,8.90321653142836e-05
"ADAT2","PI5Z_8h","PI5Z","8h",-1.17042069005303,9.0642999954291e-09
"ADCY10P1","PI5Z_8h","PI5Z","8h",1.46170282112584,1.24940191100816e-06
"ADGRB1","PI5Z_8h","PI5Z","8h",1.72758811337799,0.00131564847922083
"ADGRL1-AS1","PI5Z_8h","PI5Z","8h",1.059405389804,0.000358674123207121
"ADORA2A","PI5Z_8h","PI5Z","8h",2.29688987367552,0.0422631205175452
"ADPRM","PI5Z_24h","PI5Z","24h",-1.02817925617234,1.41716447360492e-05
"AGAP10P","PI5Z_4h","PI5Z","4h",2.53480847753232,0.0424607505603284
"AGR2","PI5Z_24h","PI5Z","24h",-1.07173459706802,0.00520483544168655
"AIMP2","PI5Z_8h","PI5Z","8h",-1.02607114099163,2.72136880703576e-13
"AK9","PI5Z_8h","PI5Z","8h",1.05100211992267,1.73337501481116e-09
"AKAP6","PI5Z_8h","PI5Z","8h",1.24511973568509,1.73226375575126e-05
"ALDH3A1","PI5Z_4h","PI5Z","4h",1.43410038544669,4.32912124231821e-07
"ALDH3A1","PI5Z_8h","PI5Z","8h",2.04459140574807,3.26943818315857e-12
"ALKBH8","PI5Z_8h","PI5Z","8h",-1.12393722574326,8.05195808177144e-15
"ALOX5AP","PI5Z_8h","PI5Z","8h",-1.39773506774682,0.0210370980068766
"ALPK1","PI5Z_8h","PI5Z","8h",1.31240903915663,4.29307333132992e-06
"ALYREF","PI5Z_8h","PI5Z","8h",-1.04293468198522,1.59105841920078e-15
"AMACR","PI5Z_4h","PI5Z","4h",1.26708988481593,4.47673362164013e-13
"AMDHD2","PI5Z_24h","PI5Z","24h",1.32509864820406,2.23494881371852e-14
"AMPD3","PI5Z_4h","PI5Z","4h",2.09544195383269,0.0188372634195163
"AMPD3","PI5Z_8h","PI5Z","8h",1.690193980736,0.0281306611019894
"ANAPC1P2","PI5Z_8h","PI5Z","8h",-3.0302233165729,0.0265711177056006
"ANKRA2","PI5Z_4h","PI5Z","4h",1.21899728491114,1.71495140187724e-09
"ANKRA2","PI5Z_8h","PI5Z","8h",1.00280273567256,2.80848247601059e-09
"ANKRD13A","PI5Z_8h","PI5Z","8h",1.46397851995165,8.0565916620824e-19
"ANKRD13A","PI5Z_24h","PI5Z","24h",1.07320644044084,3.42496181240642e-13
"ANKRD24","PI5Z_8h","PI5Z","8h",1.66122613165385,0.0013354940840429
"ANXA8L1","PI5Z_24h","PI5Z","24h",1.49765069722565,0.0212562382740304
"AP1AR","PI5Z_24h","PI5Z","24h",-1.17378601950557,7.38038679642033e-12
"APCDD1L-DT","PI5Z_8h","PI5Z","8h",-1.03517543217924,1.36898490996954e-05
"APOBEC2","PI5Z_24h","PI5Z","24h",2.3896220282556,0.0384167021313726
"APOC1","PI5Z_24h","PI5Z","24h",1.29478594096055,4.60889199955431e-12
"APOLD1","PI5Z_4h","PI5Z","4h",1.46525683503581,2.98270087062357e-05
"APOLD1","PI5Z_8h","PI5Z","8h",1.35479332634111,1.95369600741867e-05
"APOLD1","PI5Z_24h","PI5Z","24h",-1.72048652287733,2.05284126638195e-05
"ARHGAP18","PI5Z_24h","PI5Z","24h",1.15774504309464,5.84626933988055e-08
"ARHGEF10L","PI5Z_8h","PI5Z","8h",1.00616297450688,1.45496436208691e-09
"ARHGEF17","PI5Z_8h","PI5Z","8h",1.0797606275197,3.67204676206371e-15
"ARNT2","PI5Z_8h","PI5Z","8h",1.16294401931315,0.00345726794334701
"ARRB1","PI5Z_24h","PI5Z","24h",1.09272616198751,4.99547219850252e-12
"ARSG","PI5Z_8h","PI5Z","8h",1.13776168626698,0.000777148199947976
