"statistic","source","condition","score","p_value","Condition"
"1","ulm","SPI1","logFC",1.92926393457057,0.0544346393207535,"24h"
"2","ulm","STAT5A","logFC",1.70310409226823,0.0893577381848786,"24h"
"3","ulm","SP1","logFC",3.77234461924196,0.000187227931464726,"24h"
"4","ulm","E2F1","logFC",1.79502420472269,0.073436109478337,"24h"
"5","ulm","YY1","logFC",1.95199148197704,0.051665683361736,"24h"
"6","ulm","ESR1","logFC",2.40900059016069,0.016466301409996,"24h"
"7","ulm","JUN","logFC",2.14374144899763,0.0326811208038288,"24h"
"8","ulm","HNF1A","logFC",2.08171659445487,0.0380301838053181,"24h"
"9","ulm","USF2","logFC",2.12116795633968,0.0345478683030272,"24h"
"10","ulm","NFKB1","logFC",1.96075022561011,0.0506306426101036,"24h"
"11","ulm","RUNX2","logFC",1.97046299231697,0.0495033110836137,"24h"
"12","ulm","HIF1A","logFC",1.71912226983167,0.0863979930603438,"24h"
"13","ulm","NR4A2","logFC",1.67001797525254,0.0957306900360288,"24h"
"14","ulm","E2F2","logFC",1.71702792440365,0.0867803972530793,"24h"
"15","ulm","MYC","logFC",-2.13500165771426,0.0337957331818319,"4h"
"16","ulm","SP1","logFC",-2.63627927439501,0.00894057792344277,"4h"
"17","ulm","CREB1","logFC",-1.96924661331214,0.0500996749490835,"4h"
"18","ulm","SP3","logFC",-3.27530780467181,0.00121474704034372,"4h"
"19","ulm","MYC","logFC",-2.80957496516913,0.00516756367163622,"8h"
"20","ulm","E2F1","logFC",-3.1577416813544,0.00169227389453509,"8h"
"21","ulm","E2F3","logFC",-3.0926674173483,0.00210170474328141,"8h"
"22","ulm","NFKB","logFC",-1.70266769077796,0.0892914463391561,"8h"
"23","ulm","TFAP2A","logFC",-2.54373653888584,0.0112865425557892,"8h"
"24","ulm","PGR","logFC",-1.88859403420793,0.0595617532267082,"8h"
"25","ulm","EGR1","logFC",-1.7783325118497,0.0759956273607937,"8h"
"26","ulm","E2F4","logFC",-1.86676806019167,0.0625564007164559,"8h"
"27","ulm","MYCN","logFC",-2.50330428919153,0.0126421290323875,"8h"
"28","ulm","E2F2","logFC",-2.78533603138121,0.00556325651459767,"8h"
