"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"AARS1","PIPD_24h","PIPD","24h",-1.27885245830547,3.09646851673505e-07
"ABCA2","PIPD_24h","PIPD","24h",1.20243710437867,1.52223977712645e-12
"ABCF2","PIPD_8h","PIPD","8h",-1.09090665900365,3.47277075414711e-18
"ABLIM2","PIPD_8h","PIPD","8h",1.06189981723643,2.77521232144071e-05
"ACCS","PIPD_8h","PIPD","8h",1.04626489277134,1.22862413675524e-08
"ACTL8","PIPD_24h","PIPD","24h",-1.4538114076258,0.000519975786918974
"ACTR3C","PIPD_24h","PIPD","24h",1.20874015531293,7.32439598873355e-13
"ADAMTS16","PIPD_4h","PIPD","4h",1.28274979738419,4.09256567869307e-09
"ADAMTS16","PIPD_24h","PIPD","24h",1.06870206902767,3.79307963699081e-07
"ADAT2","PIPD_4h","PIPD","4h",-1.15050425546579,1.11754691487015e-08
"ADAT2","PIPD_8h","PIPD","8h",-1.50544098568204,1.18606835645883e-11
"ADCY10P1","PIPD_24h","PIPD","24h",1.40174582118156,1.17034714322711e-05
"ADGRD1","PIPD_4h","PIPD","4h",1.3553977934938,0.0365846445718693
"ADIRF-AS1","PIPD_4h","PIPD","4h",1.33468296930358,2.57554684584562e-07
"ADIRF-AS1","PIPD_8h","PIPD","8h",1.4654261138237,4.5643548472128e-08
"ADM5","PIPD_4h","PIPD","4h",-1.24369726141703,5.85553243936959e-06
"ADORA2B","PIPD_4h","PIPD","4h",-1.04605716452866,7.07128680149807e-07
"AGBL2","PIPD_8h","PIPD","8h",1.26715037994652,0.00617707968757829
"AGR2","PIPD_8h","PIPD","8h",-1.12196361743189,0.000874269434439341
"AGR2","PIPD_24h","PIPD","24h",-2.00750097830657,2.54745358370899e-06
"AHNAK2","PIPD_8h","PIPD","8h",1.28383762140987,4.94562058974178e-09
"AIMP2","PIPD_8h","PIPD","8h",-1.11465815981803,6.34870482698241e-15
"AKAP1-DT","PIPD_4h","PIPD","4h",1.83792003726022,0.000515267078524095
"AKAP6","PIPD_8h","PIPD","8h",1.43338792014617,4.88011964588145e-07
"AKTIP","PIPD_24h","PIPD","24h",-1.00044857350531,1.08468422119388e-12
"ALAD","PIPD_24h","PIPD","24h",1.2332785183976,1.23250425546198e-13
"ALDH6A1","PIPD_8h","PIPD","8h",1.10039061176056,2.01206023046537e-21
"ALKBH8","PIPD_24h","PIPD","24h",-1.25285453509478,8.31152119183473e-16
"ALOX12-AS1","PIPD_24h","PIPD","24h",1.07715272570931,0.00120975284019278
"ALOX5AP","PIPD_24h","PIPD","24h",1.82122905441292,0.00212799283014509
"ALPK1","PIPD_8h","PIPD","8h",1.31037328726195,3.02657169401061e-06
"ALYREF","PIPD_8h","PIPD","8h",-1.03592101603277,1.11064485271236e-15
"AMIGO2","PIPD_24h","PIPD","24h",-1.16772307696184,4.85532719106309e-11
"AMPD2","PIPD_4h","PIPD","4h",-1.02389363852941,1.61775908001743e-15
"AMT","PIPD_24h","PIPD","24h",1.20588240591901,0.0257790122313553
"ANKMY1","PIPD_24h","PIPD","24h",-1.04928614807801,2.87884194471759e-13
"ANKRA2","PIPD_4h","PIPD","4h",1.13083115529981,8.27848694962063e-09
"ANKRD20A11P","PIPD_24h","PIPD","24h",-1.22529238515918,0.00729548474848191
"ANKRD24","PIPD_8h","PIPD","8h",2.04500883233534,4.62455609249675e-05
"ANKRD31","PIPD_24h","PIPD","24h",-1.23411763915675,0.000242832346443287
"ANO10","PIPD_24h","PIPD","24h",1.22591916268606,5.77877798965217e-20
"ANXA8","PIPD_4h","PIPD","4h",1.14157632558307,1.10624823566381e-07
"ANXA8","PIPD_8h","PIPD","8h",1.13819253260974,3.98846177037214e-08
"AP1AR","PIPD_24h","PIPD","24h",-1.54900124958635,1.24949804667904e-16
"AP3M2","PIPD_8h","PIPD","8h",-1.06492715767897,4.50132295675643e-14
"AP3M2","PIPD_24h","PIPD","24h",-1.23114007877161,3.35752262297788e-17
"APBB3","PIPD_24h","PIPD","24h",1.18167951509042,1.08199593539212e-13
"APC2","PIPD_24h","PIPD","24h",1.16516978977919,1.18601341892043e-10
"APOL2","PIPD_24h","PIPD","24h",1.61597663993959,9.75015506913519e-30
"APOLD1","PIPD_4h","PIPD","4h",1.36300690444001,7.22170703638547e-05
"APOLD1","PIPD_8h","PIPD","8h",1.0355472353274,0.000829357462868378
"APOLD1","PIPD_24h","PIPD","24h",-1.13064253203228,0.000440751767061488
"ARHGEF10L","PIPD_8h","PIPD","8h",1.16128097108948,9.93959494565211e-12
"ARHGEF17","PIPD_24h","PIPD","24h",1.01045581395117,2.59509934460079e-15
"ARHGEF2-AS2","PIPD_8h","PIPD","8h",1.07261184345362,0.00326222652336173
"ARHGEF39","PIPD_24h","PIPD","24h",-1.03327077241538,2.12809093974989e-08
"ARL13B","PIPD_24h","PIPD","24h",-1.06725709885309,1.99343500039588e-11
"ARMC6","PIPD_8h","PIPD","8h",-1.01431131096108,9.68267274770967e-17
"ARMCX5-GPRASP2","PIPD_4h","PIPD","4h",-2.5117158882125,0.0380623754111629
"ARPC4-TTLL3","PIPD_24h","PIPD","24h",1.19614680229528,0.0149595353899054
"ARPC5L","PIPD_24h","PIPD","24h",-1.05370905315393,2.28491993117424e-18
"ARSA","PIPD_24h","PIPD","24h",1.1611255400087,6.19025842751496e-14
"ARSG","PIPD_24h","PIPD","24h",-1.02865657518586,0.000348719208318406
"ARSJ","PIPD_4h","PIPD","4h",-1.03079538445795,0.00492119349675352
"ASDURF","PIPD_24h","PIPD","24h",-2.03959726652956,0.0297455412338048
"ASIC1","PIPD_24h","PIPD","24h",1.20178576815653,8.9375115511909e-15
"ASMTL-AS1","PIPD_24h","PIPD","24h",1.0805800491365,9.2842738073203e-05
"ASNSP4","PIPD_24h","PIPD","24h",-4.34792715230215,5.65896825076418e-05
"ATAD2","PIPD_8h","PIPD","8h",-1.04582232828047,1.04095830075211e-13
"ATAD3A","PIPD_8h","PIPD","8h",-1.52054189981142,4.73388530252814e-21
"ATAD3B","PIPD_8h","PIPD","8h",-1.65238212488515,1.00430291565347e-17
"ATG14","PIPD_4h","PIPD","4h",1.35539634177802,2.0108682831175e-17
"ATL2","PIPD_24h","PIPD","24h",-1.05074102349174,5.0500241542027e-22
"ATP2A3","PIPD_8h","PIPD","8h",1.14354245829955,1.59301704149711e-09
"ATP2A3","PIPD_24h","PIPD","24h",1.33597879900494,3.49309961904966e-13
"ATP2C2-AS1","PIPD_8h","PIPD","8h",1.50099918288643,1.41811847074196e-05
