"statistic","source","condition","score","p_value","Condition"
"1","ulm","MYC","logFC",-2.22614506570415,0.0264125663424052,"24h"
"2","ulm","SPI1","logFC",1.78309506291802,0.0751272765618299,"24h"
"3","ulm","STAT5A","logFC",1.99548398201642,0.0464874306489344,"24h"
"4","ulm","SP1","logFC",1.91368733028646,0.056183642150408,"24h"
"5","ulm","STAT3","logFC",2.13353355816261,0.0333268942427679,"24h"
"6","ulm","IRF2","logFC",1.70226780999806,0.0892754218719464,"24h"
"7","ulm","SP3","logFC",2.55478715073574,0.0108958847299551,"24h"
"8","ulm","NFKB1","logFC",1.97780375679967,0.0484541386797056,"24h"
"9","ulm","CEBPD","logFC",2.76590182300714,0.00586910503881625,"24h"
"10","ulm","HIF1A","logFC",2.87426383959972,0.00420779819554661,"24h"
"11","ulm","FOXO1","logFC",2.11997817611458,0.0344591540968847,"24h"
"12","ulm","NFKB2","logFC",2.57543139063039,0.0102739427723193,"24h"
"13","ulm","KLF4","logFC",2.21004663323422,0.0275167241349975,"24h"
"14","ulm","NFYB","logFC",1.74218899352409,0.0820394911456175,"24h"
"15","ulm","MYC","logFC",-2.52784434316077,0.0121916885985019,"4h"
"16","ulm","MYC","logFC",-3.33940203126205,0.000917583189281047,"8h"
"17","ulm","CREB1","logFC",-2.08529757112517,0.0376694633075397,"8h"
