"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "Condition"
"GO:0010638" "positive regulation of organelle organization" "24/252" "487/18570" 5.64411683602757e-08 0.0001135482360992 0.000101423313661322 "SWAP70/RAD21/SIN3A/F2RL1/PLAUR/SMAD3/CCN2/CEP135/OCLN/TSC1/SNX30/BMF/BIK/CNOT6L/PROX1/UBE2B/CDKN1B/BBC3/TNKS2/CDC42EP2/AKAP9/RICTOR/MOAP1/WASL" 24 "PI_2"
"GO:0042594" "response to starvation" "15/252" "194/18570" 6.75681262119605e-08 0.0001135482360992 0.000101423313661322 "GLUL/FNIP1/FLCN/ATG14/BMT2/ZFP36/FOXK1/STK24/NFE2L2/FOXO1/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/JMY" 15 "PI_2"
"GO:0031669" "cellular response to nutrient levels" "15/252" "211/18570" 2.03223671718232e-07 0.000211074829181797 0.000188535809463501 "GLUL/FNIP1/FLCN/ATG14/BMT2/TSC1/PIM1/STK24/NFE2L2/FOXO1/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/JMY" 15 "PI_2"
"GO:0009267" "cellular response to starvation" "13/252" "158/18570" 2.51204795217848e-07 0.000211074829181797 0.000188535809463501 "GLUL/FNIP1/FLCN/ATG14/BMT2/STK24/NFE2L2/FOXO1/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/JMY" 13 "PI_2"
"GO:0031667" "response to nutrient levels" "21/252" "444/18570" 7.72579379221727e-07 0.000491210109153669 0.000438757647725854 "GLUL/FNIP1/FLCN/ATG14/BMT2/ZFP36/TSC1/PIM1/FOXK1/STK24/GDF15/PROX1/NFE2L2/FOXO1/LDLR/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/BCL10/JMY" 21 "PI_2"
"GO:0016236" "macroautophagy" "17/252" "304/18570" 9.45281505342994e-07 0.000491210109153669 0.000438757647725854 "ATG14/TSC1/SNX30/RETREG3/TP53INP1/PLEKHM1/CHMP1B/SQSTM1/C9orf72/MOAP1/PIK3CA/ZFYVE1/MTMR3/CHMP4C/MAP1LC3B/RB1CC1/WAC" 17 "PI_2"
"GO:0044089" "positive regulation of cellular component biogenesis" "22/252" "494/18570" 1.14134452173903e-06 0.000491210109153669 0.000438757647725854 "SWAP70/HAS3/SIN3A/F2RL1/FNIP1/SMAD3/CCN2/CEP135/OCLN/TSC1/SNX30/BMF/BIK/CNOT6L/PLEKHM1/CDKN1B/CDC42EP2/AKAP9/RICTOR/MOAP1/PIK3CA/WASL" 22 "PI_2"
"GO:0031668" "cellular response to extracellular stimulus" "15/252" "242/18570" 1.16919990277577e-06 0.000491210109153669 0.000438757647725854 "GLUL/FNIP1/FLCN/ATG14/BMT2/TSC1/PIM1/STK24/NFE2L2/FOXO1/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/JMY" 15 "PI_2"
"GO:0009991" "response to extracellular stimulus" "21/252" "476/18570" 2.34035426471431e-06 0.000873992298189423 0.000780665539528096 "GLUL/FNIP1/FLCN/ATG14/BMT2/ZFP36/TSC1/PIM1/FOXK1/STK24/GDF15/PROX1/NFE2L2/FOXO1/LDLR/FOXO3/ZFYVE1/MTMR3/MAP1LC3B/BCL10/JMY" 21 "PI_2"
"GO:0010506" "regulation of autophagy" "17/252" "336/18570" 3.68261459975287e-06 0.00123772676697694 0.00110555966721002 "FZD5/FLCN/ATG14/TSC1/SNX30/TP53INP1/BMF/FOXK1/DCAF12/C9orf72/FOXO1/MOAP1/PIK3CA/FOXO3/MTMR3/TRIM8/WAC" 17 "PI_2"
