gene_biotype	gene_name	strand	chrom	gc_content	length
ENSG00000000003	protein_coding	TSPAN6	-	X	40.6246968668154	12883
ENSG00000000005	protein_coding	TNMD	+	X	41.6714367487121	14949
ENSG00000000419	protein_coding	DPM1	-	20	38.6649819179992	24273
ENSG00000000457	protein_coding	SCYL3	-	1	43.3234980224747	44636
ENSG00000000460	protein_coding	C1orf112	+	1	41.3071297989031	192073
ENSG00000000938	protein_coding	FGR	-	1	57.5279966818747	23121
ENSG00000000971	protein_coding	CFH	+	1	37.6969144642625	95461
ENSG00000001036	protein_coding	FUCA2	-	6	45.3290870488323	16908
ENSG00000001084	protein_coding	GCLC	-	6	43.8108656914343	119629
ENSG00000001167	protein_coding	NFYA	+	6	47.3503621807091	29429
ENSG00000001460	protein_coding	STPG1	-	1	49.3915108340754	59935
ENSG00000001461	protein_coding	NIPAL3	+	1	48.9127516778523	57174
ENSG00000001497	protein_coding	LAS1L	-	X	52.3772573363431	96261
ENSG00000001561	protein_coding	ENPP4	+	6	34.4315245478036	16699
ENSG00000001617	protein_coding	SEMA3F	+	3	61.522849286369	34030
ENSG00000001626	protein_coding	CFTR	+	7	41.4736483996258	428851
ENSG00000001629	protein_coding	ANKIB1	+	7	42.7565217391304	155409
ENSG00000001630	protein_coding	CYP51A1	-	7	40.6078241189783	22650
ENSG00000001631	protein_coding	KRIT1	-	7	40.2635575368638	47197
ENSG00000002016	protein_coding	RAD52	-	12	51.5111043272533	78317
ENSG00000002079	transcribed_unitary_pseudogene	MYH16	+	7	53.9151466290436	72301
ENSG00000002330	protein_coding	BAD	-	11	65.2076820008933	14874
ENSG00000002549	protein_coding	LAP3	+	4	46.58499479542	30774
ENSG00000002586	protein_coding	CD99	+	X	53.3638893435914	50122
ENSG00000002587	protein_coding	HS3ST1	-	4	48.3736344666749	36414
ENSG00000002726	protein_coding	AOC1	+	7	59.9537037037037	36877
ENSG00000002745	protein_coding	WNT16	+	7	44.5433789954338	15737
ENSG00000002746	protein_coding	HECW1	+	7	50.5833759155169	453372
ENSG00000002822	protein_coding	MAD1L1	-	7	62.3110634111439	417450
ENSG00000002834	protein_coding	LASP1	+	17	57.6194288764345	51911
ENSG00000002919	protein_coding	SNX11	+	17	52.540140491721	20244
ENSG00000002933	protein_coding	TMEM176A	+	7	56.2069266335165	4715
ENSG00000003056	protein_coding	M6PR	-	12	47.1387922858046	9400
ENSG00000003096	protein_coding	KLHL13	-	X	40.994623655914	219527
ENSG00000003137	protein_coding	CYP26B1	-	2	56.6213619867644	18624
ENSG00000003147	protein_coding	ICA1	-	7	46.6549225287264	149503
ENSG00000003249	protein_coding	DBNDD1	-	16	61.2723686064534	15019
ENSG00000003393	protein_coding	ALS2	-	2	44.4580304898848	81845
ENSG00000003400	protein_coding	CASP10	+	2	46.201429788495	46508
ENSG00000003402	protein_coding	CFLAR	+	2	46.7269043571412	60533
ENSG00000003436	protein_coding	TFPI	-	2	38.7788479011448	101530
ENSG00000003509	protein_coding	NDUFAF7	+	2	43.3884025538077	21772
ENSG00000003756	protein_coding	RBM5	+	3	46.3415492957746	30102
ENSG00000003987	protein_coding	MTMR7	-	8	43.1015021272901	116734
